"";"Contrassegno";"Riferimento";"Costruttore";"Descrizione";
"1";"+CAXXX.XXXUNC";"SDV4312";"ETA";"CASSA DERIVAZIONE 400X300X120 IN ACCIAIO";
"1";"-CN_CODA2_AF";"W12S/ DT06-12S/ 114017/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122";"Deutsch/ Deutsch/ NULL/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity";"CONNET.VOLANTE 12 VIE P.F./ TAPPO BIANCO DEUTSCH/ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F.";
"1";"-CN_CODA2_AM";"114017/ DT04-12P/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ W12P";"NULL/ Deutsch/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ Deutsch";"TAPPO BIANCO DEUTSCH/ CONN. VOLANTE 12 VIE P.M.";
"1";"-CN_CODA2_BF";"W6S/ DT06-6S/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122";"Deutsch/ Deutsch/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity";"CONN. DEUTSCH VOLANTE 6VIE P.F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F.";
"1";"-CN_CODA2_BM";"DT04-6P/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122";"Deutsch/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity";"CONNET.VOLANTE 6VIE P.M.";
"1";"-CN_DISPLAY_1";"WM-12S/ DTM06-12SA/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 114017/ 114017/ 114017";"Deutsch/ Deutsch/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ NULL/ NULL/ NULL";"CONNET. VOLANTE(GY)12p P.F. SIZE 20/ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TAPPO BIANCO DEUTSCH/ TAPPO BIANCO DEUTSCH/ TAPPO BIANCO DEUTSCH";
"1";"-CN_DISPLAY_2";"114017/ 114017/ 114017/ 114017/ 114017/ 114017/ 114017/ 114017/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ DTM06-12SB/ WM-12S";"NULL/ NULL/ NULL/ NULL/ NULL/ NULL/ NULL/ NULL/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ Deutsch/ Deutsch";"TAPPO BIANCO DEUTSCH/ TAPPO BIANCO DEUTSCH/ TAPPO BIANCO DEUTSCH/ TAPPO BIANCO DEUTSCH/ TAPPO BIANCO DEUTSCH/ TAPPO BIANCO DEUTSCH/ TAPPO BIANCO DEUTSCH/ TAPPO BIANCO DEUTSCH/ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ CONNET. VOLANTE(BK)12p P.F. SIZE 20";
"1";"-CN_ETHERNET";"CAMRG45-2";"NULL";"PROLUNGA M-M ETHERNET";
"1";"-CN_PRO_AF";"1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ 1062-16-0122/ W6S/ DT06-6S";"TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ Deutsch/ Deutsch";"TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ TERMINALE DEUTSCH F./ / CONN. DEUTSCH VOLANTE 6VIE P.F.";
"1";"-CN_PRO_AM";"DT04-6P/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122/ 1060-16-0122";"Deutsch/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity/ TE Connectivity";"CONNET.VOLANTE 6VIE P.M.";
